autobahn,station_id,title,subtitle,description,latitude,longitude,extent,direction
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMDY=,A1 | Wuppertal | Remscheid Ost,Schnellladeeinrichtung,Wuppertal | Remscheid Ost 42859 Wermelskirchen  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,51.157855,7.22812,"7.22812,51.157855,7.22812,51.157855",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY0NDU=,A1 | Wuppertal | Raststätte Remscheid Ost,Schnellladeeinrichtung,"A1 | Wuppertal | Raststätte Remscheid Ost 42859 Remscheid  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.158333,7.230556,"7.230556,51.158333,7.230556,51.158333",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTU1MDk=,A1 | Wuppertal | Raststätte Lichtendorf Nord,Schnellladeeinrichtung,"A1 | Wuppertal | Raststätte Lichtendorf Nord 44289 Dortmund  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.468376,7.59406,"7.59406,51.468376,7.59406,51.468376",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTU5NTg=,A1 | Wuppertal | Raststätte Lennhof West,Schnellladeeinrichtung,"A1 | Wuppertal | Raststätte Lennhof West 58099 Hagen  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.411647,7.499223,"7.499223,51.411647,7.499223,51.411647",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTU1MTA=,A1 | Wuppertal | Lichtendorf Nord,Schnellladeeinrichtung,A1 | Wuppertal | Lichtendorf Nord 44289 Dortmund  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,51.468811,7.595449,"7.595449,51.468811,7.595449,51.468811",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY5NTY=,A1 | Trier | Raststätte Eifel West,Schnellladeeinrichtung,"A1 | Trier | Raststätte Eifel West 54533 Niederöffingen  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW  Ladepunkt 3: AC Kupplung Typ 2 43 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 50 kW",50.0684783,6.8803255,"6.8803255,50.0684783,6.8803255,50.0684783",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY5NTg=,A1 | Trier | Eifel West,Schnellladeeinrichtung,A1 | Trier | Eifel West 54533 Niederöfflingen  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,50.068492,6.880212,"6.880212,50.068492,6.880212,50.068492",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczMzI=,A1 | Saarbrücken | Raststätte Hochwald West,Schnellladeeinrichtung,"A1 | Saarbrücken | Raststätte Hochwald West 54421 Reinsfeld  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 3: DC Kupplung Combo 150 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 150 kW",49.690177,6.896882,"6.896882,49.690177,6.896882,49.690177",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTE4NDM=,A1 | Osnabrück | Raststätte Bentheimer Wald Süd,Schnellladeeinrichtung,"A1 | Osnabrück | Raststätte Bentheimer Wald Süd 48455 Bad Bentheim  Ladepunkt 1: DC Kupplung Combo 150 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 150 kW  Ladepunkt 3: AC Kupplung Typ 2 43 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 50 kW",52.312502,7.041832,"7.041832,52.312502,7.041832,52.312502",
A1,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQ5NjM=,A1 | Münster | Lichtendorf Süd,Schnellladeeinrichtung,A1 | Münster | Lichtendorf Süd 58239 Schwerte  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,51.467206,7.594438,"7.594438,51.467206,7.594438,51.467206",
