autobahn,parking_id,title,subtitle,description,latitude,longitude,is_blocked,lorry_parking_feature_icons,extent,direction
A1,DE-SL-000008,A1 | undefined,Neuhaus O,PKW Stellplätze: 0 LKW Stellplätze: 4,,,false,[],,
A1,DE-SL-000009,A1 | undefined,Neuhaus W,PKW Stellplätze: 0 LKW Stellplätze: 6,,,false,[],,
A1,DE-SL-000007,A1 | undefined,Schellenbach W,PKW Stellplätze: 0 LKW Stellplätze: 16,,,false,[],,
A1,DE-SL-000005,A1 | undefined,Schaumberg Kreuz O,PKW Stellplätze: 0 LKW Stellplätze: 6,,,false,[],,
A1,DE-SL-000006,A1 | undefined,Schaumberg Kreuz W,PKW Stellplätze: 0 LKW Stellplätze: 5,,,false,[],,
A1,DE-SL-000003,A1 | undefined,Sombach Mühle O,PKW Stellplätze: 0 LKW Stellplätze: 7,,,false,[],,
A1,DE-SL-000004,A1 | undefined,Sombach Mühle West,PKW Stellplätze: 0 LKW Stellplätze: 8,,,false,[],,
A1,DE-SL-000002,A1 | undefined,Peterberg Ost,PKW Stellplätze: 0 LKW Stellplätze: 8,,,false,[],,
A1,DE-SL-000001,A1 | undefined,Kastel West,PKW Stellplätze: 0 LKW Stellplätze: 6,,,false,[],,
A1,DE-RP-000016,A1 | undefined,Katzenberg,PKW Stellplätze: 24 LKW Stellplätze: 2,,,false,"[{'description': 'Picknickmöglichkeiten', 'style': '', 'icon': 'almofont almo-picnic_facility'}, {'description': 'Mülleimer', 'style': '', 'icon': 'fa fa-trash'}, {'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A1,DE-RP-000015,A1 | undefined,Steinerwald,PKW Stellplätze: 0 LKW Stellplätze: 5,,,false,"[{'description': 'Picknickmöglichkeiten', 'style': '', 'icon': 'almofont almo-picnic_facility'}, {'description': 'Mülleimer', 'style': '', 'icon': 'fa fa-trash'}, {'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
