platform,post_id,title,author,date,latitude,longitude,location_name,tags,url,views_or_score
OpenStreetMap,174393858,Map edit near Freiburg,oildelog,2025-11-08T20:43:12Z,47.41363,7.013373,"Freiburg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393858,0
OpenStreetMap,174393834,Map edit near Freiburg,Cypri67,2025-11-08T20:42:44Z,47.644262,7.566611,"Freiburg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393834,0
OpenStreetMap,174393991,Map edit near Stuttgart,mcliquid,2025-11-08T20:47:53Z,47.910128,9.33939,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393991,0
OpenStreetMap,174393955,Map edit near Stuttgart,naUrnaTc,2025-11-08T20:46:45Z,47.602667,9.365617,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393955,0
OpenStreetMap,174393880,Map edit near Freiburg,mcliquid,2025-11-08T20:43:45Z,47.910151,8.786826,"Freiburg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393880,0
OpenStreetMap,174393818,Map edit near Freiburg,mcliquid,2025-11-08T20:42:13Z,47.637309,8.899183,"Freiburg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393818,0
OpenStreetMap,174393799,Map edit near Stuttgart,mcliquid,2025-11-08T20:41:38Z,47.393476,9.427724,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393799,0
OpenStreetMap,174393566,Map edit near Freiburg,mcliquid,2025-11-08T20:34:52Z,47.729479,8.837489,"Freiburg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393566,0
OpenStreetMap,174394022,Map edit near Augsburg,mcliquid,2025-11-08T20:48:49Z,47.722302,9.883948,"Augsburg, Bayern","osm,mapping,bayern",https://www.openstreetmap.org/changeset/174394022,0
OpenStreetMap,174393991,Map edit near Stuttgart,mcliquid,2025-11-08T20:47:53Z,47.857728,9.686204,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393991,0
OpenStreetMap,174393905,Map edit near München,Andreas Binder,2025-11-08T20:44:48Z,47.288755,12.887903,"München, Bayern","osm,mapping,bayern",https://www.openstreetmap.org/changeset/174393905,0
OpenStreetMap,174394028,Map edit near Saarbrücken,Bernard 88 95,2025-11-08T20:48:58Z,48.558367,6.754366,"Saarbrücken, Saarland","osm,mapping,saarland",https://www.openstreetmap.org/changeset/174394028,0
OpenStreetMap,174393995,Map edit near Saarbrücken,jbcharron,2025-11-08T20:47:57Z,48.444881,5.881008,"Saarbrücken, Saarland","osm,mapping,saarland",https://www.openstreetmap.org/changeset/174393995,0
OpenStreetMap,174394004,Map edit near Stuttgart,nessie2010,2025-11-08T20:48:09Z,48.533005,9.158965,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174394004,0
OpenStreetMap,174393815,Map edit near Stuttgart,nessie2010,2025-11-08T20:42:10Z,48.100944,9.227504,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393815,0
OpenStreetMap,174393630,Map edit near Karlsruhe,309_308_307,2025-11-08T20:36:59Z,49.039176,8.097882,"Karlsruhe, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393630,0
OpenStreetMap,174393908,Map edit near Heidelberg,cuzi,2025-11-08T20:44:52Z,49.660005,8.854398,"Heidelberg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393908,0
OpenStreetMap,174393884,Map edit near Stuttgart,cuzi,2025-11-08T20:43:51Z,48.837477,9.215018,"Stuttgart, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393884,0
OpenStreetMap,174393609,Map edit near Heidelberg,cuzi,2025-11-08T20:36:21Z,49.23656,8.852685,"Heidelberg, Baden-Württemberg","osm,mapping,baden-württemberg",https://www.openstreetmap.org/changeset/174393609,0
OpenStreetMap,174393973,Map edit near Nürnberg,epigen108,2025-11-08T20:47:12Z,49.158986,10.405607,"Nürnberg, Bayern","osm,mapping,bayern",https://www.openstreetmap.org/changeset/174393973,0
OpenStreetMap,174393873,Map edit near Augsburg,epigen108,2025-11-08T20:43:32Z,48.906693,10.892703,"Augsburg, Bayern","osm,mapping,bayern",https://www.openstreetmap.org/changeset/174393873,0
OpenStreetMap,174393724,Map edit near Augsburg,epigen108,2025-11-08T20:39:21Z,48.92314,10.751845,"Augsburg, Bayern","osm,mapping,bayern",https://www.openstreetmap.org/changeset/174393724,0
OpenStreetMap,174394053,Map edit near Bonn,309_308_307,2025-11-08T20:49:28Z,50.39282,6.667119,"Bonn, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174394053,0
OpenStreetMap,174393824,Map edit near Bonn,ma-rt-in,2025-11-08T20:42:20Z,50.03062,7.389376,"Bonn, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393824,0
OpenStreetMap,174393691,Map edit near Bonn,ma-rt-in,2025-11-08T20:38:24Z,49.998123,7.335362,"Bonn, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393691,0
OpenStreetMap,174393568,Map edit near Frankfurt,ManuelB701,2025-11-08T20:35:01Z,49.880258,8.586542,"Frankfurt, Hessen","osm,mapping,hessen",https://www.openstreetmap.org/changeset/174393568,0
OpenStreetMap,174392156,Map edit near Frankfurt,resident-2022,2025-11-08T19:48:39Z,50.221741,9.067962,"Frankfurt, Hessen","osm,mapping,hessen",https://www.openstreetmap.org/changeset/174392156,0
OpenStreetMap,174392059,Map edit near Frankfurt,SimonT13,2025-11-08T19:45:37Z,50.308945,8.648215,"Frankfurt, Hessen","osm,mapping,hessen",https://www.openstreetmap.org/changeset/174392059,0
OpenStreetMap,174393891,Map edit near Dresden,Cristoffs,2025-11-08T20:44:05Z,49.953861,14.428581,"Dresden, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174393891,0
OpenStreetMap,174393800,Map edit near Dresden,Cristoffs,2025-11-08T20:41:40Z,50.303818,14.891381,"Dresden, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174393800,0
OpenStreetMap,174393996,Map edit near Bonn,even666,2025-11-08T20:47:58Z,50.58589,7.297975,"Bonn, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393996,0
OpenStreetMap,174393647,Map edit near Hagen,mapper999,2025-11-08T20:37:18Z,51.108057,7.625002,"Hagen, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393647,0
OpenStreetMap,174392943,Map edit near Bonn,d3rk4,2025-11-08T20:14:53Z,50.438921,7.512342,"Bonn, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174392943,0
OpenStreetMap,174393785,Map edit near Frankfurt,Herwescheluc,2025-11-08T20:41:15Z,50.455549,8.501028,"Frankfurt, Hessen","osm,mapping,hessen",https://www.openstreetmap.org/changeset/174393785,0
OpenStreetMap,174393790,Map edit near Leipzig,Schnipselsucher,2025-11-08T20:41:25Z,50.54356,11.959827,"Leipzig, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174393790,0
OpenStreetMap,174393748,Map edit near Erfurt,Sven50981103,2025-11-08T20:40:02Z,51.242626,11.391704,"Erfurt, Thüringen","osm,mapping,thüringen",https://www.openstreetmap.org/changeset/174393748,0
OpenStreetMap,174394029,Map edit near Dresden,mtb-vamp,2025-11-08T20:49:00Z,50.562418,13.072986,"Dresden, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174394029,0
OpenStreetMap,174393796,Map edit near Dresden,mtb-vamp,2025-11-08T20:41:31Z,50.578826,12.940033,"Dresden, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174393796,0
OpenStreetMap,174393600,Map edit near Leipzig,mtb-vamp,2025-11-08T20:35:58Z,50.628175,12.892534,"Leipzig, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174393600,0
OpenStreetMap,174393624,Map edit near Duisburg,CartoKees,2025-11-08T20:36:50Z,51.498151,6.393542,"Duisburg, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393624,0
OpenStreetMap,174393996,Map edit near Essen,even666,2025-11-08T20:47:58Z,51.604596,7.073542,"Essen, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393996,0
OpenStreetMap,174393791,Map edit near Hagen,blauloke,2025-11-08T20:41:26Z,51.251394,7.392458,"Hagen, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393791,0
OpenStreetMap,174393662,Map edit near Kassel,weltoffen,2025-11-08T20:37:44Z,51.627318,9.694416,"Kassel, Hessen","osm,mapping,hessen",https://www.openstreetmap.org/changeset/174393662,0
OpenStreetMap,174393624,Map edit near Duisburg,CartoKees,2025-11-08T20:36:50Z,51.998636,5.882147,"Duisburg, Nordrhein-Westfalen","osm,mapping,nordrhein-westfalen",https://www.openstreetmap.org/changeset/174393624,0
OpenStreetMap,174392021,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:44:07Z,52.167474,7.933502,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174392021,0
OpenStreetMap,174392003,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:43:31Z,52.696532,7.885402,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174392003,0
OpenStreetMap,174391915,Map edit near Oldenburg,Ortsfeuerwehr Bissendorf,2025-11-08T19:40:55Z,52.774532,8.078545,"Oldenburg, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174391915,0
OpenStreetMap,174391902,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:40:28Z,52.041821,8.033546,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174391902,0
OpenStreetMap,174391891,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:39:57Z,52.682139,7.72491,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174391891,0
OpenStreetMap,174391878,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:39:25Z,52.000499,8.010956,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174391878,0
OpenStreetMap,174391794,Map edit near Osnabrück,Ortsfeuerwehr Bissendorf,2025-11-08T19:37:06Z,52.252204,8.095749,"Osnabrück, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174391794,0
OpenStreetMap,174394088,Map edit near Hannover,DeFra85,2025-11-08T20:50:33Z,52.062988,9.19365,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174394088,0
OpenStreetMap,174393418,Map edit near Hannover,GTS305,2025-11-08T20:29:52Z,52.310011,10.11999,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393418,0
OpenStreetMap,174393313,Map edit near Hannover,GTS305,2025-11-08T20:26:11Z,52.769956,9.674951,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393313,0
OpenStreetMap,174393236,Map edit near Hannover,GTS305,2025-11-08T20:23:52Z,52.265341,10.068361,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393236,0
OpenStreetMap,174393230,Map edit near Hannover,GTS305,2025-11-08T20:23:44Z,52.0641,9.607257,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393230,0
OpenStreetMap,174393199,Map edit near Hannover,GTS305,2025-11-08T20:23:01Z,51.833029,10.111283,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393199,0
OpenStreetMap,174393073,Map edit near Hannover,GTS305,2025-11-08T20:19:15Z,52.502037,10.454597,"Hannover, Niedersachsen","osm,mapping,niedersachsen",https://www.openstreetmap.org/changeset/174393073,0
OpenStreetMap,174394103,Map edit near Leipzig,streckenkundler,2025-11-08T20:50:57Z,51.956384,12.444679,"Leipzig, Sachsen","osm,mapping,sachsen",https://www.openstreetmap.org/changeset/174394103,0
OpenStreetMap,174393681,Map edit near Potsdam,Waldamsel,2025-11-08T20:38:15Z,52.771538,12.458595,"Potsdam, Brandenburg","osm,mapping,brandenburg",https://www.openstreetmap.org/changeset/174393681,0
OpenStreetMap,174394015,Map edit near Potsdam,fmc_10,2025-11-08T20:48:29Z,52.481655,13.158772,"Potsdam, Brandenburg","osm,mapping,brandenburg",https://www.openstreetmap.org/changeset/174394015,0
OpenStreetMap,174394003,Map edit near Berlin,KnuFloh001,2025-11-08T20:48:08Z,52.528085,13.928255,"Berlin, Berlin","osm,mapping,berlin",https://www.openstreetmap.org/changeset/174394003,0
OpenStreetMap,174393982,Map edit near Berlin,streckenkundler,2025-11-08T20:47:31Z,51.984944,13.430306,"Berlin, Berlin","osm,mapping,berlin",https://www.openstreetmap.org/changeset/174393982,0
OpenStreetMap,174393816,Map edit near Berlin,KnuFloh001,2025-11-08T20:42:10Z,52.423948,13.505573,"Berlin, Berlin","osm,mapping,berlin",https://www.openstreetmap.org/changeset/174393816,0
OpenStreetMap,174393762,Map edit near Berlin,KnuFloh001,2025-11-08T20:40:40Z,52.527633,13.664295,"Berlin, Berlin","osm,mapping,berlin",https://www.openstreetmap.org/changeset/174393762,0
OpenStreetMap,174393677,Map edit near Berlin,KnuFloh001,2025-11-08T20:38:11Z,52.598218,13.913806,"Berlin, Berlin","osm,mapping,berlin",https://www.openstreetmap.org/changeset/174393677,0
OpenStreetMap,174393673,Map edit near Potsdam,Techtipps3000,2025-11-08T20:38:04Z,51.936408,13.167136,"Potsdam, Brandenburg","osm,mapping,brandenburg",https://www.openstreetmap.org/changeset/174393673,0
